I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
4333		1965	1	1	21	38	 29.2	10	 5.5		 5.5						ALGERIA		ALGERIA:  M'SILA	  35.700	    4.400	15	       4	1			       350	3	       2.000	2	25000	4			       4	1			350	3	       2.000	2	2500	4		
4334	Tsu	1965	1	24	0	11	 12.1	6	 7.6		 7.6						INDONESIA		INDONESIA:  SANANA ISLAND	  -2.400	  126.100	170	      71	2						2	3000	4			      71	2						2	3000	4		
4341	Tsu	1965	3	9	17	57	 53.7	18	 6.3		 6.3						GREECE		GREECE:  ALONISOS, SKOPELOS	  39.400	   24.000	130	      38	1			       253	3	       8.000	3					      38	1			253	3	       8.000	3		3		
4345		1965	3	28	16	33	    	61	 7.3						 7.3		CHILE		CHILE:  CENTRAL	 -32.400	  -71.200	160	     400	3					     125.000	4																
4349		1965	3	31	9	47	    	78	 7.1						 7.1	10	GREECE		GREECE	  38.600	   22.400	130	       6	1						2																
4350		1965	4	5	3	12	 54.2	34	 6.2		 6.2					10	GREECE		GREECE:  SOUTHERN	  37.700	   21.800	130	      32	1			       200	3		3		3			      32	1			200	3		3		3		
9812		1965	4	19	23	41	 58.8	36	 6.0		 6.0						JAPAN		JAPAN:  AICHI, SHIZOUKA PREFECTURES	  34.900	  138.000	30	       1	1			         4	1		1					       1	1			4	1		1				
4351		1965	4	29	15	28	 43.7	59	 6.6		 6.6	 6.5			 6.5	8	USA	WA	WASHINGTON:  SEATTLE	  47.400	 -122.300	150	       7	1					      28.000	4					       7	1					      28.000	4				
4353		1965	5	3	10	1	 35.2	23	 6.0		 6.0					6	EL SALVADOR		EL SALVADOR:  SAN MARCOS	  13.500	  -89.300	100	     125	3			      1138	4	      35.000	4					     125	3			1138	4	      35.000	4				
6415	Tsu	1965	7	6	3	18	 42.7	18	 6.3		 6.3					8	GREECE		NORTH CORINTH GULF	  38.267	   22.300	130	       1	1			         6	1		2					       2	1			6	1		2				
4356	Tsu	1965	8	23	19	46	  2.9	28	 7.8		 7.8	 6.6					MEXICO		MEXICO:  ME\XICO CITY, OAXACA	  16.300	  -95.800	150	       6	1						1				1	       6	1						1				1
4357		1966	2	5	2	1	 48.3	38	 6.3		 6.3						GREECE		GREECE:  CENTRAL	  39.200	   22.000	130	       1	1			        60	2	       4.000	2	450	3							60	2	       4.000	2	450	3		
4358		1966	3	7	1	16	    	38	 6.0						 6.0	8	TURKEY		TURKEY:  VARTO, MUS	  39.100	   41.600	140	      10	1						3																
4360	Tsu	1966	3	12	16	31	 21.8	48	 8.0		 8.0	 6.1					TAIWAN		TAIWAN	  24.100	  122.600	30	       7	1			        10	1		2		2			       7	1			10	1		2		2		
4362		1966	3	20	1	42	 49.9	36	 7.0		 7.0						UGANDA		UGANDA:  KICHWAMBA, BONDIBOGYO	    .600	   30.200	10	     140	3				3	       1.500	2					     140	3				3	       1.500	2				
4369		1966	6	27	10	41	  9.5	23	 6.3		 6.3	 6.0				8	NEPAL		NEPAL-INDIA	  29.554	   80.854	60	      80	2			       100	2	       1.000	2	5200	4			      80	2			100	2	       1.000	2	5200	4		
4372		1966	8	15	2	15	    	53	 5.6						 5.6		INDIA		INDIA:  N	  28.700	   78.900	60	      15	1						1																
4376		1966	8	19	12	22	    	24	 6.8						 6.8	9	TURKEY		TURKEY:  VARTO	  39.200	   41.600	140	    2394	4					      20.000	3																
4377		1966	9	1	14	13	 48.0	17	 5.9		 5.9	 5.3				8	GREECE		GREECE:  SOUTHERN	  37.500	   22.100	130	       1	1			        25	1	      14.000	3	180	3							25	1	      14.000	3	180	3		
4381	Tsu	1966	10	17	21	41	 56.0	38	 8.1	 8.1	 7.5					9	PERU		PERU:  LIMA,HUACHO,HUAURA, CHANCAY,SUPE,SAN NICOLAS	 -10.748	  -78.638	160	     110	3			      3000	4	      35.000	4					     110	3			3000	4	      35.000	4				
4382		1966	10	29	2	39	 29.4	20	 5.7		 5.7						GREECE		GREECE:  CENTRAL	  39.200	   21.200	130	       1	1			        23	1		3		3			       1	1			23	1		3		3		
4383	Tsu	1966	12	28	8	18	  7.4	47	 7.8		 7.8					8	CHILE		CHILE:  TALTAL, CATALINA	 -25.500	  -70.700	160	       3	1			         6	1	        .400	1		3			       3	1			6	1	        .400	1		3		
